🕘️更新时间,#genre#
TVBS,http://bvm.808848.xyz:50007/4gtv-4gtv073/index.m3u8$订阅源
ROCKACTION,http://8.138.7.223/tv/aktv.php?id=2$订阅源
鳳凰香港台,https://cdn.iptv8k.top/dl/jrys.php?id=18&time=20240926215313&ip=111.229.253.40$订阅源
鳳凰香港台,http://203.205.191.53/qctv.fengshows.cn/live/0701phk72.m3u8$订阅源
鳳凰香港台,http://43.152.143.193:80/1.v.smtcdns.net/tvlive.fengshows.cn/live/0701phk72.flv$订阅源
AXN,http://8.138.7.223/tv/aktv.php?id=1$订阅源
TVN,http://8.138.7.223/tv/aktv.php?id=4$订阅源
BBC News,http://125.227.210.55:8165/VideoInput/play.ts$订阅源
澳视澳门,http://iptv.4666888.xyz/iptv.php?id=20127$订阅源
澳视澳门,http://grandprix2023.asuscomm.com:8891/bysid/91.m3u8$订阅源
澳视澳门,https://live5.tdm.com.mo/ch1/ch1.live/playlist.m3u8$订阅源
CCTV5(h265),http://171.15.18.199:8180/TV00000000000000000005@HHZT$订阅源
CCTV5(h265),http://61.149.251.202:4022/rtp/239.3.1.173:8001$订阅源
